Current;Current Ideal;Power;;;;;;
1,509857;6,3413994;190,241982;;;;;;
1,510039;6,3421638;190,264914;;;Current Max(A);Current Ideal;Mutiplier;Power Max
1,510221;6,3429282;190,287846;;Calculado;2,33611;10;4,280620348;300
1,510402;6,3436884;190,310652;;Medido;2,33611;9,811662;;294,34986
1,510584;6,3444528;190,333584;;;;;;
1,510765;6,345213;190,35639;;;;;;
1,510946;6,3459732;190,379196;;;;;;
1,511127;6,3467334;190,402002;;;;;;
1,511308;6,3474936;190,424808;;;;;;
1,511489;6,3482538;190,447614;;;;;;
1,51167;6,349014;190,47042;;;;;;
1,51185;6,34977;190,4931;;;;;;
1,512031;6,3505302;190,515906;;;;;;
1,512211;6,3512862;190,538586;;;;;;
1,512392;6,3520464;190,561392;;;;;;
1,512572;6,3528024;190,584072;;;;;;
1,512752;6,3535584;190,606752;;;;;;
1,512932;6,3543144;190,629432;;;;;;
1,513112;6,3550704;190,652112;;;;;;
1,513292;6,3558264;190,674792;;;;;;
1,513471;6,3565782;190,697346;;;;;;
1,513651;6,3573342;190,720026;;;;;;
1,51383;6,358086;190,74258;;;;;;
1,514009;6,3588378;190,765134;;;;;;
1,514189;6,3595938;190,787814;;;;;;
1,514368;6,3603456;190,810368;;;;;;
1,514547;6,3610974;190,832922;;;;;;
1,514726;6,3618492;190,855476;;;;;;
1,514904;6,3625968;190,877904;;;;;;
1,515083;6,3633486;190,900458;;;;;;
1,515262;6,3641004;190,923012;;;;;;
1,51544;6,364848;190,94544;;;;;;
1,515618;6,3655956;190,967868;;;;;;
1,515796;6,3663432;190,990296;;;;;;
1,515974;6,3670908;191,012724;;;;;;
1,516152;6,3678384;191,035152;;;;;;
1,51633;6,368586;191,05758;;;;;;
1,516508;6,3693336;191,080008;;;;;;
1,516686;6,3700812;191,102436;;;;;;
1,516863;6,3708246;191,124738;;;;;;
1,517041;6,3715722;191,147166;;;;;;
1,517218;6,3723156;191,169468;;;;;;
1,517395;6,373059;191,19177;;;;;;
1,517572;6,3738024;191,214072;;;;;;
1,517749;6,3745458;191,236374;;;;;;
1,517926;6,3752892;191,258676;;;;;;
1,518103;6,3760326;191,280978;;;;;;
1,518279;6,3767718;191,303154;;;;;;
1,518456;6,3775152;191,325456;;;;;;
1,518632;6,3782544;191,347632;;;;;;
1,518808;6,3789936;191,369808;;;;;;
1,518985;6,379737;191,39211;;;;;;
1,519161;6,3804762;191,414286;;;;;;
1,519337;6,3812154;191,436462;;;;;;
1,519513;6,3819546;191,458638;;;;;;
1,519688;6,3826896;191,480688;;;;;;
1,519864;6,3834288;191,502864;;;;;;
1,520039;6,3841638;191,524914;;;;;;
1,520215;6,384903;191,54709;;;;;;
1,52039;6,385638;191,56914;;;;;;
1,520565;6,386373;191,59119;;;;;;
1,52074;6,387108;191,61324;;;;;;
1,520915;6,387843;191,63529;;;;;;
1,52109;6,388578;191,65734;;;;;;
1,521265;6,389313;191,67939;;;;;;
1,521439;6,3900438;191,701314;;;;;;
1,521614;6,3907788;191,723364;;;;;;
1,521788;6,3915096;191,745288;;;;;;
1,521963;6,3922446;191,767338;;;;;;
1,522137;6,3929754;191,789262;;;;;;
1,522311;6,3937062;191,811186;;;;;;
1,522485;6,394437;191,83311;;;;;;
1,522659;6,3951678;191,855034;;;;;;
1,522832;6,3958944;191,876832;;;;;;
1,523006;6,3966252;191,898756;;;;;;
